x,z
12.52475,-0.5
12.72366,-0.3333333
12.92233,-0.5
13.12062,-0.3333333
13.31863,-0.5
13.51616,-0.3333333
13.71336,-0.5
13.91001,-0.3333333
14.10627,-0.1666667
14.30233,-0.3333333
14.49796,-0.1666667
14.69336,0.0
14.88877,0.1666667
15.0844,0.3333333
15.47711,0.6666667
15.67448,0.8333333
15.87263,0.6666667
16.0713,0.8333333
16.27051,0.6666667
16.47005,0.5
16.8696,0.1666667
17.06947,0.0
17.26933,0.0
17.4692,-0.1666667
17.66902,-0.3333333
17.86875,-0.1666667
18.06842,0.0
18.26809,-0.1666667
18.46769,0.0
18.6673,0.0
18.8669,0.1666667
19.26635,0.5
19.66621,0.1666667
19.86618,0.0
20.46615,0.5
20.66613,0.3333333
20.86606,0.1666667
21.26579,0.5
21.46545,0.3333333
21.86445,0.0
22.46284,0.0
22.66231,-0.1666667
22.86184,0.0
23.26099,-0.3333333
23.46071,-0.1666667
23.86027,0.1666667
24.4595,-0.3333333
24.65936,-0.1666667
24.85926,0.0
25.05917,0.0
25.25907,0.0
25.45897,-0.1666667
25.6589,-0.3333333
25.85888,-0.1666667
26.05887,-0.3333333
26.25887,-0.1666667
26.45886,-0.3333333
26.8588,0.0
27.05875,0.1666667
27.25873,0.0
27.45871,-0.1666667
27.65866,0.0
27.85862,0.1666667
28.0586,0.0
28.25857,-0.1666667
28.45853,-0.3333333
28.65843,-0.5
28.85821,-0.3333333
29.05788,-0.1666667
29.25748,0.0
29.45709,0.1666667
29.65676,0.0
29.85643,0.1666667
30.05615,0.3333333
30.25598,0.1666667
30.45584,0.0
30.65571,0.0
30.85557,-0.1666667
31.0554,-0.3333333
31.25513,-0.1666667
31.45479,0.0
31.65446,0.0
31.85413,0.0
32.0538,0.1666667
32.25353,0.0
32.45325,0.0
32.65298,0.0
32.85271,0.0
33.05243,0.1666667
33.25221,0.3333333
33.45208,0.5
33.65203,0.3333333
33.85202,0.1666667
34.05202,0.0
34.25202,-0.1666667
34.45201,-0.3333333
34.65196,-0.1666667
34.85189,0.0
35.05183,0.1666667
35.25178,0.0
35.45174,-0.1666667
35.65167,0.0
35.8516,0.0
36.05153,-0.1666667
36.25143,0.0
36.65124,0.0
36.85114,0.1666667
37.05107,0.0
37.251,-0.1666667
